2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:33		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:34		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:34		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:34		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:34		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:34		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:34		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:35		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:35		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:35		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:35		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:36		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:37		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:37		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:37		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:37		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:37		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:38		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:39		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
